network_id,station_id,path
ASOSAWOS,ASOSAWOS_72394023273,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72394023273.zarr/
ASOSAWOS,ASOSAWOS_72396593209,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72396593209.zarr/
ASOSAWOS,ASOSAWOS_72429300376,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72429300376.zarr/
ASOSAWOS,ASOSAWOS_72462023061,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72462023061.zarr/
ASOSAWOS,ASOSAWOS_72462593005,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72462593005.zarr/
ASOSAWOS,ASOSAWOS_72462703011,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72462703011.zarr/
ASOSAWOS,ASOSAWOS_72463523067,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72463523067.zarr/
ASOSAWOS,ASOSAWOS_72463603013,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72463603013.zarr/
ASOSAWOS,ASOSAWOS_72464093058,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72464093058.zarr/
ASOSAWOS,ASOSAWOS_72464523070,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72464523070.zarr/
ASOSAWOS,ASOSAWOS_72464603028,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72464603028.zarr/
ASOSAWOS,ASOSAWOS_72466093037,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72466093037.zarr/
ASOSAWOS,ASOSAWOS_72466593010,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72466593010.zarr/
ASOSAWOS,ASOSAWOS_72466693067,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72466693067.zarr/
ASOSAWOS,ASOSAWOS_72467003017,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72467003017.zarr/
ASOSAWOS,ASOSAWOS_72467393009,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72467393009.zarr/
ASOSAWOS,ASOSAWOS_72467494050,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72467494050.zarr/
ASOSAWOS,ASOSAWOS_72467523063,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72467523063.zarr/
ASOSAWOS,ASOSAWOS_72467693073,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72467693073.zarr/
ASOSAWOS,ASOSAWOS_72467793007,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72467793007.zarr/
ASOSAWOS,ASOSAWOS_72467894033,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72467894033.zarr/
ASOSAWOS,ASOSAWOS_72468094015,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72468094015.zarr/
ASOSAWOS,ASOSAWOS_72468903026,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72468903026.zarr/
ASOSAWOS,ASOSAWOS_72469400450,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72469400450.zarr/
ASOSAWOS,ASOSAWOS_72469824015,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72469824015.zarr/
ASOSAWOS,ASOSAWOS_72469903065,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72469903065.zarr/
ASOSAWOS,ASOSAWOS_72470093141,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72470093141.zarr/
ASOSAWOS,ASOSAWOS_72475023176,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72475023176.zarr/
ASOSAWOS,ASOSAWOS_72475423186,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72475423186.zarr/
ASOSAWOS,ASOSAWOS_72475593129,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72475593129.zarr/
ASOSAWOS,ASOSAWOS_72475623159,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72475623159.zarr/
ASOSAWOS,ASOSAWOS_72476023066,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72476023066.zarr/
ASOSAWOS,ASOSAWOS_72476593013,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72476593013.zarr/
ASOSAWOS,ASOSAWOS_72476793069,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72476793069.zarr/
ASOSAWOS,ASOSAWOS_72476824051,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72476824051.zarr/
